DATE;FBFANS_LE_PEN;FBFANS_FILLON;FBFANS_MELENCHON;FBFANS_MACRON;FBFANS_HAMON
2017-02-01;140519;258826;626641;1180022;96492
2017-02-02;142356;259958;628257;1180682;97936
2017-02-03;143738;262471;630072;1181345;98906
2017-02-04;146948;264580;632392;1182168;100064
2017-02-05;149404;265835;637289;1186733;103057
2017-02-06;150790;270465;639763;1189542;104185
2017-02-07;152101;272685;641765;1191458;109063
2017-02-08;153396;274252;643358;1192419;115280
2017-02-09;154623;275132;645119;1193300;117580
2017-02-10;156767;275993;646814;1194683;118815
2017-02-11;158242;276665;647988;1195950;119646
2017-02-12;159382;277222;649264;1197366;120378
2017-02-13;160304;277793;650464;1198577;121172
2017-02-14;161048;278304;651974;1199361;121668
2017-02-15;162002;278924;653463;1201005;122271
2017-02-16;164743;279886;654842;1202684;122931
2017-02-17;167739;280635;656043;1203942;123818
2017-02-18;169766;281260;657186;1205098;124541
2017-02-19;170890;282241;658818;1206359;125251
2017-02-20;171530;282974;660407;1207739;125766
2017-02-21;172377;283599;661640;1214707;126400
2017-02-22;174263;284110;662574;1221179;126992
2017-02-23;176654;284588;663946;1224380;127632
2017-02-24;179059;285106;665148;1225953;128321
2017-02-25;180893;285748;665917;1227065;128676
2017-02-26;182435;286315;666803;1229051;129219
2017-02-27;183486;286848;667697;1230385;129719
2017-02-28;184608;287382;668819;1232245;130166
2017-03-01;185899;289528;669749;1234544;130794
2017-03-02;189790;290696;670627;1238011;131299
2017-03-03;194568;292447;671404;1240412;131766
2017-03-04;197339;294340;672413;1242536;132396
2017-03-05;199834;298076;673522;1243737;133745
2017-03-06;201433;300292;674406;1245183;134589
2017-03-07;202684;301914;675302;1246659;135374
2017-03-08;203826;302844;676224;1247203;136018
2017-03-09;204898;303499;676866;1247536;137000
2017-03-10;205710;304142;677489;1247871;138139
2017-03-11;206468;304641;678482;1248333;138672
2017-03-12;207486;305217;680207;1249122;139134
2017-03-13;208793;305817;681349;1249800;139491
2017-03-14;210412;306348;682602;1250606;139833
2017-03-15;211287;306774;683359;1251010;140082
