DATE;FBINTERACTIONS_LE_PEN;FBINTERACTIONS_FILLON;FBINTERACTIONS_MELENCHON;FBINTERACTIONS_MACRON;FBINTERACTIONS_HAMON
2017-02-01;0.641697;2.91363;1.37427;5.08202;4.57311
2017-02-02;0.891641;3.69878;1.89094;3.30288;4.93962
2017-02-03;0.768747;11.1866;3.04102;1.63023;2.64476
2017-02-04;0.652546;0;0.732575;4.2183;4.17852
2017-02-05;3.44833;3.30157;5.74444;2.39344;12.498
2017-02-06;0.510126;22.7906;2.01276;1.0324;2.70795
2017-02-07;0.690562;3.93114;1.15058;1.41746;19.2277
2017-02-08;0.396301;3.55307;1.20559;1.82719;2.80078
2017-02-09;0.802582;3.53651;1.39521;4.7534;2.8744
2017-02-10;1.82508;2.94961;0.363796;1.10704;2.23441
2017-02-11;1.26865;2.06963;0.573794;1.7498;6.70133
2017-02-12;0.97672;2.13137;0.25238;1.66612;2.58516
2017-02-13;1.2335;3.39487;1.88109;1.29658;3.70159
2017-02-14;1.11367;0;0.648438;0.838748;1.93735
2017-02-15;1.34646;3.37682;1.92043;2.06485;2.59957
2017-02-16;1.07437;3.17192;1.17878;4.0024;2.55738
2017-02-17;0.675668;1.69432;1.08825;2.42708;1.48167
2017-02-18;0.940956;2.68256;1.37965;1.68045;2.33937
2017-02-19;0.662421;3.72186;1.72294;1.14074;1.845
2017-02-20;0.484156;0;1.04834;1.23124;1.15331
2017-02-21;0.621273;1.66757;0.886164;1.83329;1.81963
2017-02-22;1.32824;1.00879;0.403371;5.55697;2.4689
2017-02-23;0.740513;1.65712;0.922112;6.21203;1.91154
2017-02-24;0.545862;2.73743;1.03826;2.53225;0.734356
2017-02-25;0.479654;2.33498;0.993291;2.91372;1.22531
2017-02-26;1.94975;5.77245;2.30529;1.92773;1.83086
2017-02-27;0.924582;1.69369;1.44859;2.19747;1.40767
2017-02-28;0.724461;1.47841;1.27657;2.19368;1.41931
2017-03-01;1.53009;5.60392;1.05227;1.16611;1.99249
2017-03-02;0.741865;3.83134;0.716702;4.39555;1.05721
2017-03-03;0.800881;6.53134;0.600769;2.11855;1.17411
2017-03-04;1.11182;6.79447;0.934019;3.32869;1.90199
2017-03-05;0.66099;5.69542;0.689261;1.84932;1.59352
2017-03-06;0.688507;4.7292;0.558586;1.6732;1.53863
2017-03-07;1.74168;4.13485;0.92846;1.1548;2.00621
2017-03-08;0.647716;1.79855;1.13405;1.04069;1.27049
2017-03-09;0.472474;2.79328;0.84089;0.81995;2.36871
2017-03-10;1.28353;1.81127;1.28689;0.852557;2.18436
2017-03-11;0.577277;2.2804;1.77936;1.17279;1.02044
2017-03-12;0.826819;1.78216;2.0536;1.85649;1.22048
2017-03-13;0.541479;2.12455;1.10359;2.13242;0.541846
2017-03-14;0.356646;1.75402;0.853668;1.62603;1.3324
2017-03-15;0.0883429;0;0.21743;0;0
