DATE;NBTWEETS_FILLON;NBTWEETS_MACRON;NBTWEETS_MELENCHON;NBTWEETS_HAMON;NBTWEETS_LE_PEN
2017-02-01;\N;\N;\N;\N;\N
2017-02-02;20416;3630;1344;2518;3505
2017-02-03;15001;2454;2395;2430;2884
2017-02-04;9189;10242;2586;1518;3797
2017-02-05;9618;5126;6645;6111;7717
2017-02-06;33768;3644;3021;2954;3724
2017-02-07;21037;3535;1569;2632;5040
2017-02-08;13773;2887;1269;2187;3021
2017-02-09;11648;4622;1678;2248;11762
2017-02-10;8381;3395;1155;1510;6350
2017-02-11;6258;2624;1486;1895;2675
2017-02-12;7329;2773;3576;1436;5643
2017-02-13;5610;3597;1687;2315;3964
2017-02-14;7635;3810;1321;724;3589
2017-02-15;11941;4516;3069;2160;3016
2017-02-16;13064;9587;1914;2112;2730
2017-02-17;9036;6950;2759;2881;3989
2017-02-18;7647;8145;2402;2790;2915
2017-02-19;6517;3535;5045;4120;2543
2017-02-20;4814;2873;3475;2664;3567
2017-02-21;8538;5666;2362;4444;8113
2017-02-22;5409;8980;2726;3234;8365
2017-02-23;4647;5487;8804;4102;5879
2017-02-24;7045;9627;4725;2933;6129
2017-02-25;6659;5642;2853;1481;4074
2017-02-26;5066;5232;2907;934;7734
2017-02-27;7018;4334;2953;119;5152
2017-02-28;1331;5054;4462;3533;5645
2017-03-01;41137;5687;3433;3404;4586
2017-03-02;24492;11529;2066;2513;6105
2017-03-03;23439;6536;1815;3233;4415
2017-03-04;21354;5506;1547;2518;4288
2017-03-05;17095;3921;2520;6092;5806
2017-03-06;24680;3661;2047;2735;5568
2017-03-07;17914;5415;2290;4688;3889
2017-03-08;11184;8505;1832;3749;6032
2017-03-09;9646;7539;1983;10151;4287
2017-03-10;7821;5082;1708;6804;3723
2017-03-11;5226;3699;3090;2533;4423
2017-03-12;178;115;1313;126;167
2017-03-13;\N;\N;\N;\N;\N
2017-03-14;\N;\N;\N;\N;\N
2017-03-15;\N;\N;\N;\N;\N
