DATE;VISITS_FILLON;VISITS_MACRON;VISITS_MELENCHON;VISITS_HAMON;VISITS_LE_PEN
2017-02-01;4452;2109;3210;3312;12333
2017-02-02;4101;2077;3155;3281;12141
2017-02-03;3825;1951;3108;3351;11041
2017-02-04;3697;1806;3052;3373;8836
2017-02-05;3487;1714;2982;3330;8220
2017-02-06;2675;1685;2919;3160;7575
2017-02-07;2424;1670;2920;3178;6921
2017-02-08;2300;1650;2953;3150;6500
2017-02-09;2223;1630;3021;3137;6016
2017-02-10;2177;1598;3019;3131;5364
2017-02-11;2127;1581;2986;3070;5126
2017-02-12;2141;1545;3031;3075;5117
2017-02-13;2105;1529;3080;3084;5017
2017-02-14;2088;1500;3097;3074;4890
2017-02-15;2032;1486;3057;3005;4763
2017-02-16;2012;1358;3063;2936;4696
2017-02-17;1966;1335;3055;2915;4649
2017-02-18;1944;1337;2958;2899;4393
2017-02-19;1921;1369;2909;2880;4368
2017-02-20;1897;1382;2865;2886;4401
2017-02-21;1897;1382;2865;2886;4401
2017-02-22;1919;1302;2801;3005;4225
2017-02-23;1885;1323;2776;3460;4057
2017-02-24;1860;1310;2728;3494;3937
2017-02-25;1853;1265;2739;3669;3878
2017-02-26;1878;1249;2702;3716;3866
2017-02-27;1878;1226;2726;3844;3827
2017-02-28;1922;1276;2788;4434;3547
2017-03-01;1899;1274;2802;4454;3516
2017-03-02;1880;1039;2808;4376;3408
2017-03-03;1837;995;2800;4187;3349
2017-03-04;\N;\N;\N;\N;3349
2017-03-05;1801;987;2830;4058;3620
2017-03-06;2158;960;2818;4309;3641
2017-03-07;2287;948;2817;4237;3708
2017-03-08;2362;934;2833;4254;3689
2017-03-09;2382;922;2862;4149;3894
2017-03-10;2402;917;2858;4035;4143
2017-03-11;2468;897;2897;4091;4146
2017-03-12;2475;887;2872;3939;4038
2017-03-13;\N;\N;\N;\N;\N
2017-03-14;\N;\N;\N;\N;\N
2017-03-15;\N;\N;\N;\N;\N
